Question,Answer
user_id,17
How would you describe your experience with escape rooms? (in real life or digitally),I've never done one
What is your age?,27
What is your gender identity?,Male
What is your prior VR experience?,I have never used VR.
What is your racial/ethnic identity? Select all that apply.,Asian
