participant_id,puzzle_id,window_start,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,temporal_label,temporal_confidence,disagreement_type,disagreement_intensity,dominant_tension,n_contradictions,n_constructive,confidence_spread
9,Spoke Puzzle: Amount of Sunlight,2155.0094897,locked,0.665,inactive,0.95,stalled,0.95,looping,0.85,constructive,0.05,passive_and_stuck,0,3,0.116
9,Spoke Puzzle: Amount of Sunlight,2160.0070445,locked,0.665,inactive,0.95,stalled,0.95,looping,0.85,constructive,0.05,passive_and_stuck,0,3,0.116
9,Spoke Puzzle: Amount of Sunlight,2165.010041,locked,0.665,inactive,0.95,stalled,0.95,looping,0.85,constructive,0.05,passive_and_stuck,0,3,0.116
9,Spoke Puzzle: Amount of Sunlight,2170.0023669,locked,0.574,inactive,0.95,stalled,0.95,looping,0.85,constructive,0.05,passive_and_stuck,0,3,0.154
9,Spoke Puzzle: Amount of Sunlight,2175.0020407,searching,0.811,hesitant,0.488,stalled,0.413,looping,0.65,constructive,0.414,pop_confirms_exploration,0,1,0.153
9,Spoke Puzzle: Amount of Sunlight,2180.0106553,searching,0.564,hesitant,0.85,stalled,0.55,looping,0.65,constructive,0.584,pop_confirms_exploration,0,1,0.12
9,Spoke Puzzle: Amount of Sunlight,2185.0064846,searching,0.866,inactive,0.848,stalled,0.95,looping,0.85,contradictory,0.857,scanning_but_passive,2,2,0.042
9,Spoke Puzzle: Amount of Sunlight,2190.0162511,focused,0.156,active,0.798,stalled,0.413,looping,0.65,contradictory,0.606,acting_without_progress,1,1,0.243
9,Spoke Puzzle: Amount of Sunlight,2195.0105368,focused,0.5,inactive,0.7,stalled,0.95,looping,0.65,contradictory,0.6,focused_but_idle,1,1,0.162
9,Spoke Puzzle: Amount of Sunlight,2200.0064323,searching,0.593,inactive,0.7,stalled,0.95,looping,0.65,contradictory,0.646,scanning_but_passive,1,1,0.136
9,Spoke Puzzle: Amount of Sunlight,2205.0023244,searching,0.383,hesitant,0.525,stalled,0.55,looping,0.65,unstructured,1.0,none,0,0,0.095
9,Spoke Puzzle: Amount of Sunlight,2210.018538,searching,0.909,active,0.933,stalled,0.413,looping,0.85,contradictory,0.673,acting_without_progress,1,1,0.212
9,Spoke Puzzle: Amount of Sunlight,2215.0002994,searching,0.51,active,0.95,stalled,0.413,looping,0.85,contradictory,0.681,acting_without_progress,1,1,0.225
9,Spoke Puzzle: Amount of Sunlight,2220.0068712,searching,0.209,hesitant,0.7,stalled,0.55,looping,0.85,unstructured,1.0,none,0,0,0.238
9,Spoke Puzzle: Amount of Sunlight,2225.0233211,searching,0.884,active,0.554,progressing,0.9,transient,0.4,contradictory,0.892,scattered_but_progressing,1,2,0.215
9,Spoke Puzzle: Amount of Sunlight,2230.0116062,searching,0.663,active,0.667,progressing,0.767,transient,0.4,contradictory,0.715,scattered_but_progressing,1,1,0.136
9,Spoke Puzzle: Amount of Sunlight,2235.0033234,searching,0.439,active,0.737,progressing,0.9,persistent,0.75,contradictory,0.669,scattered_but_progressing,1,2,0.167
9,Spoke Puzzle: Amount of Sunlight,2240.0100828,searching,0.833,hesitant,0.65,progressing,0.767,persistent,0.75,contradictory,0.8,scattered_but_progressing,1,1,0.066
9,Transition,2245.015871,searching,0.95,active,0.72,progressing,0.9,persistent,0.75,contradictory,0.925,scattered_but_progressing,1,2,0.097
9,Transition,2250.0125023,searching,0.95,active,0.65,progressing,0.9,persistent,0.75,contradictory,0.925,scattered_but_progressing,1,2,0.119
9,Transition,2255.013041,searching,0.95,active,0.652,progressing,0.9,persistent,0.75,contradictory,0.925,scattered_but_progressing,1,2,0.119
