config,n_windows,watch,probe,intervene,active_rate,binary_precision,binary_recall,binary_f1,tol15_recall,tol15_precision,tol15_f1
rule_based,,,,,0.047,,,0.083,0.377,0.321,0.347
behavioral_only,5265.0,4303.0,655.0,307.0,0.1827,0.2453,0.2159,0.2297,0.629,0.345,0.446
gaze_only,5265.0,4526.0,508.0,231.0,0.1404,0.2016,0.1363,0.1627,0.596,0.326,0.422
v4_full,5265.0,3070.0,1378.0,817.0,0.4169,0.2533,0.5087,0.3382,0.907,0.365,0.521
v3_main,,,,,0.425,,,0.349,0.921,0.371,0.529
theory_partitioned,,,,,,,,,0.887,0.379,0.531
