participant_id,window_start,expert_state,expert_action,expert_prompt_type,expert_content,expert_rule,expert_prompt_count,mapped_gaze_on_instruction,mapped_puzzle_interaction,mapped_object_in_hand,mapped_area_type,mapped_no_trigger_time
9,290.0009985,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.07,False,False,hub,295.0
9,295.0130871,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,4.39,True,False,hub,300.0
9,300.0092745,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,True,False,hub,305.0
9,305.0082636,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.35,True,False,hub,310.0
9,310.0043585,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.64,False,False,hub,315.0
9,315.0020171,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,320.0
9,320.0142047,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,325.0
9,325.0103591,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.53,True,False,hub,330.0
9,330.0080363,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,2.74,False,False,hub,335.0
9,335.0020741,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.97,False,False,hub,340.0
9,340.0153442,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.97,False,False,hub,345.0
9,345.0125473,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,350.0
9,350.0108184,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,355.0
9,355.0046654,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,360.0
9,360.0021986,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,365.0
9,365.0153783,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,3.11,False,False,hub,370.0
9,370.0056067,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,375.0
9,375.0123417,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,2.9,False,False,hub,380.0
9,380.0133617,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.45,False,False,hub,385.0
