Question,Answer
user_id,14
How would you describe your experience with escape rooms? (in real life or digitally),I've never done one
What is your age?,23
What is your gender identity?,Non-bindary / third gender
What is your prior VR experience?,I am a frequent user of VR.
What is your racial/ethnic identity? Select all that apply.,White
