fixation_count,fixation_duration_mean,fixation_duration_max,fixation_duration_std,saccade_count,saccade_amplitude_mean,saccade_amplitude_max,gaze_target_entropy,n_unique_targets,clue_dwell,puzzle_dwell,env_dwell,puzzle_object_ratio,gaze_head_coupling,revisit_rate,gaze_dispersion,eye_confidence_mean,blink_proxy,n_gaze_samples,participant_id,window_start
13,0.3155,0.8931,0.2079,12,0.5105,16.3799,2.3247,8,0.0,0.3597,0.6403,0.3597,0.2471,0.6154,0.1399,1.0,0.0,367,1,155.0
5,0.8767,1.6247,0.5763,4,0.7578,16.1615,1.7901,11,0.5895,0.0771,0.3278,0.6667,0.6654,0.2,0.2954,1.0,0.0,363,1,160.0
3,1.6254,2.7965,1.0109,2,0.6502,15.4467,0.4121,2,0.9172,0.0,0.0828,0.9172,0.4034,0.3333,0.1279,1.0,0.0,338,1,165.0
5,0.9467,2.8538,0.999,4,0.8045,17.5481,1.2365,5,0.0356,0.0,0.9644,0.0356,0.4394,0.2,0.2352,1.0,0.0,337,1,170.0
2,2.4894,4.6208,2.1313,1,0.4901,12.2398,0.3825,2,0.0745,0.0,0.9255,0.0745,0.2869,0.0,0.163,1.0,0.0,349,1,175.0
6,0.7709,1.9082,0.5478,5,0.8011,13.8043,1.5994,4,0.6765,0.0,0.3235,0.6765,0.3152,0.5,0.2238,1.0,0.0,340,1,180.0
1,4.9848,4.9848,0.0,0,0.4267,11.138,-0.0,1,0.0,0.0,1.0,0.0,0.1049,0.0,0.0479,1.0,0.0,331,1,185.0
1,4.9828,4.9828,0.0,0,0.5785,11.8412,-0.0,1,0.0,0.0,1.0,0.0,0.2345,0.0,0.1061,1.0,0.0,336,1,190.0
4,1.2122,2.2523,0.7532,3,0.6855,14.1593,0.4068,2,0.0,0.0,1.0,0.0,0.407,0.5,0.171,1.0,0.0,332,1,195.0
7,0.5633,2.88,0.9484,6,0.4595,6.5155,1.3834,6,0.0607,0.0,0.9393,0.0607,0.144,0.5714,0.1801,1.0,0.0,346,1,200.0
7,0.4973,1.2003,0.3639,6,1.0913,20.6296,2.2935,17,0.1339,0.0142,0.7977,0.1481,0.0319,0.5714,0.2778,1.0,0.0,351,1,205.0
9,0.4927,1.9342,0.5581,8,0.5352,11.8672,1.1856,5,0.0058,0.0,0.9942,0.0058,0.0685,0.6667,0.1565,1.0,0.0,342,1,210.0
7,0.6634,3.1566,1.0277,6,0.9107,18.2231,1.1537,6,0.0,0.0,0.9864,0.0,0.2983,0.5714,0.2756,1.0,0.0,367,1,215.0
9,0.5249,1.2232,0.3264,8,0.9948,13.9509,1.6899,4,0.4959,0.0,0.5041,0.4959,0.0416,0.5556,0.397,1.0,0.0,365,1,220.0
9,0.4926,1.4833,0.4,8,0.7223,14.9904,1.6173,5,0.0838,0.0,0.9135,0.0838,0.384,0.6667,0.2161,1.0,0.0,370,1,225.0
14,0.2954,0.7394,0.1779,13,0.9683,18.2674,2.8042,13,0.1635,0.0054,0.6948,0.1689,0.1352,0.5,0.4946,1.0,0.0,367,1,230.0
13,0.336,0.7447,0.1791,12,0.5936,15.5851,1.8397,4,0.2234,0.0,0.7766,0.2234,0.2099,0.6923,1.0981,1.0,0.0,367,1,235.0
1,4.9859,4.9859,0.0,0,0.6025,10.4389,-0.0,1,1.0,0.0,0.0,1.0,0.048,0.0,0.0712,1.0,0.0,332,1,240.0
2,2.449,2.6568,0.2078,1,0.6345,14.9363,0.0905,2,0.9885,0.0,0.0115,0.9885,0.0591,0.5,0.065,1.0,0.0,348,1,245.0
2,2.464,4.7873,2.3233,1,0.6019,15.1658,0.258,3,0.9629,0.0,0.0371,0.9629,0.3514,0.0,0.1176,1.0,0.0,350,1,250.0
9,0.4934,1.0172,0.2541,8,1.1283,20.3192,2.1415,7,0.1479,0.0,0.7722,0.1479,0.0325,0.4444,0.2825,1.0,0.0,338,1,255.0
4,1.0836,2.3234,0.8386,3,0.9057,15.0267,1.7946,5,0.4545,0.0,0.5455,0.4545,0.2429,0.0,0.3031,1.0,0.0,341,1,260.0
12,0.3762,0.85,0.2847,11,0.8618,17.6138,2.0234,7,0.2238,0.0,0.7558,0.2238,0.0254,0.6667,0.2239,1.0,0.0,344,1,265.0
3,1.6513,4.3151,1.8838,2,0.6211,24.5818,0.3864,2,0.0,0.0,1.0,0.0,0.0078,0.3333,0.1915,1.0,0.0,344,1,270.0
10,0.4711,0.9349,0.2177,9,0.955,17.3666,1.5729,4,0.0,0.0,0.9077,0.0,0.3999,0.6,0.2336,1.0,0.0,336,1,275.0
9,0.5338,1.0433,0.2819,8,0.7404,16.5979,0.9442,2,0.0,0.0,1.0,0.0,0.0099,0.7778,0.1477,1.0,0.0,351,1,280.0
7,0.5966,1.4052,0.4518,6,1.0153,18.5162,1.8575,4,0.0801,0.0,0.9199,0.0801,0.0,0.4286,0.3486,1.0,0.0,337,1,285.0
6,0.7542,1.8794,0.5982,5,0.9503,17.5873,1.0499,5,0.012,0.0,0.8559,0.012,0.0064,0.6667,0.2032,1.0,0.0,333,1,290.0
8,0.6027,1.7161,0.4694,7,0.6178,10.7179,1.5008,3,0.2173,0.0,0.7827,0.2173,0.094,0.625,0.1473,1.0,0.0,336,1,295.0
5,0.985,3.1889,1.1044,4,0.5572,19.1698,1.4382,4,0.0,0.0,0.9113,0.0,0.353,0.2,0.137,1.0,0.0,327,1,300.0
3,1.6137,2.7844,0.9976,2,0.6731,17.481,1.2686,3,0.0,0.0,1.0,0.0,0.0283,0.0,0.2422,1.0,0.0,331,1,305.0
2,2.4752,3.4189,0.9437,1,0.534,13.1343,0.899,2,0.0,0.0,1.0,0.0,0.0301,0.0,0.1911,1.0,0.0,330,1,310.0
10,0.4499,1.2919,0.35,9,1.0058,17.5968,1.7148,7,0.0,0.0,0.9621,0.0,0.3332,0.6,0.254,1.0,0.0,343,1,315.0
7,0.6739,1.0718,0.3347,6,0.9185,15.4623,0.9325,2,0.0,0.0,1.0,0.0,0.2682,0.7143,0.162,1.0,0.0,336,1,320.0
6,0.8188,2.4771,0.7909,5,0.5309,13.2044,0.8228,2,0.0,0.0,1.0,0.0,0.0641,0.6667,0.1001,1.0,0.0,338,1,325.0
4,1.1755,2.8647,1.1376,3,0.4184,9.564,0.9486,2,0.0,0.0,1.0,0.0,0.0047,0.5,0.1925,1.0,0.0,343,1,330.0
5,0.9173,2.4818,0.8844,4,0.7371,15.3783,1.2962,3,0.0,0.0,1.0,0.0,0.4588,0.4,0.2868,1.0,0.0,336,1,335.0
10,0.4694,1.1484,0.2895,9,0.5392,12.4963,0.9954,2,0.0,0.0,1.0,0.0,0.0138,0.8,0.1105,1.0,0.0,339,1,340.0
3,1.6522,4.3277,1.895,2,0.5266,10.3129,0.2449,2,0.0,0.0,1.0,0.0,0.0154,0.3333,0.1226,1.0,0.0,345,1,345.0
3,1.6479,2.6055,1.0438,2,0.577,12.4205,0.2741,2,0.0,0.0,1.0,0.0,0.0207,0.3333,0.1396,1.0,0.0,297,1,350.0
7,0.6941,2.5854,0.8396,6,0.3952,9.2839,0.7648,2,0.0,0.0,1.0,0.0,0.2257,0.7143,0.0664,1.0,0.0,319,1,355.0
